,Unnamed: 0,name,artist_id,genres,followers,popularity,spotify_url
881,925,Charly Black,5sK8BsvyDl4TFA6KaBf8or,"dancehall, jamaican dancehall",346190,61,https://open.spotify.com/artist/5sK8BsvyDl4TFA6KaBf8or
882,926,Christopher Martin,3dXC1YPbnQPsfHPVkm1ipj,"dancehall, reggae fusion",370318,54,https://open.spotify.com/artist/3dXC1YPbnQPsfHPVkm1ipj
883,927,Mavado,0eezS9KmhdjGN436RdTIXu,"dancehall, jamaican dancehall, reggae fusion",612824,56,https://open.spotify.com/artist/0eezS9KmhdjGN436RdTIXu
884,928,Ce'Cile,1RnGhd2JfN5nbVOvYmhDyO,"dancehall queen, riddim",108481,46,https://open.spotify.com/artist/1RnGhd2JfN5nbVOvYmhDyO
885,929,Romain Virgo,6HCIRVlJ8tvmKPAtFnxyFg,"lovers rock, modern reggae, riddim, roots reggae",232341,47,https://open.spotify.com/artist/6HCIRVlJ8tvmKPAtFnxyFg
886,930,Alaine,62I2kfviQAwxvxNMvTj1Mc,"lovers rock, riddim",134208,42,https://open.spotify.com/artist/62I2kfviQAwxvxNMvTj1Mc
887,931,Serani,22099GssG7Ood0d5UIh2wo,"dancehall, reggae fusion",157605,52,https://open.spotify.com/artist/22099GssG7Ood0d5UIh2wo
888,932,DING DONG,351x2S7CduShTNvtzgkMl7,"dancehall, jamaican dancehall, traphall",181354,46,https://open.spotify.com/artist/351x2S7CduShTNvtzgkMl7
889,933,Jah Vinci,0mkixmQkcUeE6egKHW4ojh,"dancehall, jamaican dancehall, traphall",248445,41,https://open.spotify.com/artist/0mkixmQkcUeE6egKHW4ojh
890,934,Cham,5G8IlDlnPQPN4YmtJ6NDxK,"dancehall, reggae fusion",132179,44,https://open.spotify.com/artist/5G8IlDlnPQPN4YmtJ6NDxK
891,935,Tony Matterhorn,6taesTUSevB9eK8bm5Y7b9,"dancehall, jamaican dancehall",94757,40,https://open.spotify.com/artist/6taesTUSevB9eK8bm5Y7b9
892,936,Mr. Vegas,1pmixngtBJleMrGUG5o8DE,"azonto, dancehall, reggae fusion, soca",361083,57,https://open.spotify.com/artist/1pmixngtBJleMrGUG5o8DE
893,937,Spice,0wEvWMQRqaXcgnrZv6KtyL,"dancehall, dancehall queen, jamaican dancehall",519984,61,https://open.spotify.com/artist/0wEvWMQRqaXcgnrZv6KtyL
894,938,QQ,06SIuEAp0Cqena9c2bZfgq,dancehall,57302,32,https://open.spotify.com/artist/06SIuEAp0Cqena9c2bZfgq
895,939,Tarrus Riley,4frHO7KPcfMjhnVdIMJ98c,"dancehall, lovers rock",423186,57,https://open.spotify.com/artist/4frHO7KPcfMjhnVdIMJ98c
896,940,BRONSON,60yfafz0P3gqaUaOUIddae,vapor twitch,55273,50,https://open.spotify.com/artist/60yfafz0P3gqaUaOUIddae
897,941,Running Touch,5bdwzvp6eirvqh0TwOwjgE,aussietronica,64748,44,https://open.spotify.com/artist/5bdwzvp6eirvqh0TwOwjgE
898,942,L D R U,2RnDmyX1zzOkK5Cj9QPhMq,australian dance,38441,35,https://open.spotify.com/artist/2RnDmyX1zzOkK5Cj9QPhMq
899,943,Set Mo,2rv8IrcIQiFKkdvQAgUTZj,aussietronica,46935,38,https://open.spotify.com/artist/2rv8IrcIQiFKkdvQAgUTZj
900,944,SAFIA,1y07gMlsfAdz2KOvZzyUTB,australian indie,127338,46,https://open.spotify.com/artist/1y07gMlsfAdz2KOvZzyUTB
901,945,Northeast Party House,500YRyClzP6Z7HtWd1BIje,australian indie,53534,42,https://open.spotify.com/artist/500YRyClzP6Z7HtWd1BIje
902,946,Motez,3SwgftmsT5rVepCSSco3ZR,"aussietronica, australian house",25703,40,https://open.spotify.com/artist/3SwgftmsT5rVepCSSco3ZR
903,947,Touch Sensitive,2OC53Inn0G9QwWM7CM0G5Z,"aussietronica, nu disco",61067,40,https://open.spotify.com/artist/2OC53Inn0G9QwWM7CM0G5Z
904,948,Carmada,4R3mzuQZhfwDkjdE1wx31O,aussietronica,20331,26,https://open.spotify.com/artist/4R3mzuQZhfwDkjdE1wx31O
905,949,Willaris. K,6ZHeg2Op5ZkNppXbNLSglj,aussietronica,19814,34,https://open.spotify.com/artist/6ZHeg2Op5ZkNppXbNLSglj
906,950,SLUMBERJACK,55BFQS36sJYz2B0ClypIvS,"electronic trap, vapor twitch",72887,40,https://open.spotify.com/artist/55BFQS36sJYz2B0ClypIvS
907,951,Nyxen,0afWPDKroAExYCxAT5t9i1,aussietronica,29169,31,https://open.spotify.com/artist/0afWPDKroAExYCxAT5t9i1
908,952,Crooked Colours,0aA1GTrIMutjIh4GlPPUVN,vapor soul,164173,51,https://open.spotify.com/artist/0aA1GTrIMutjIh4GlPPUVN
909,953,Kilter,2syYGtINPRno1nxxil7UcJ,aussietronica,16798,25,https://open.spotify.com/artist/2syYGtINPRno1nxxil7UcJ
910,954,Hayden James,4csQIMQm6vI2A2SCVDuM2z,"aussietronica, gauze pop, house",262580,60,https://open.spotify.com/artist/4csQIMQm6vI2A2SCVDuM2z
911,955,What So Not,4AA8eXtzqh5ykxtafLaPOi,"aussietronica, brostep, edm, electro house, electronic trap, escape room, vapor twitch",314427,55,https://open.spotify.com/artist/4AA8eXtzqh5ykxtafLaPOi
912,956,The Kite String Tangle,3D6cosC5ZOLCpRxt6T3XS7,"aussietronica, australian indie, brisbane indie",84898,46,https://open.spotify.com/artist/3D6cosC5ZOLCpRxt6T3XS7
913,957,Hermitude,3fmMaLC5jjf2N4EC2kTx0u,"australian dance, australian indie, downtempo, escape room",260586,49,https://open.spotify.com/artist/3fmMaLC5jjf2N4EC2kTx0u
